vehículo,año,precio,aceleración,consumo,clase
Prius (1ra Gen),1997,24509.74,7.46,41.26,Compacto
Tino,2000,35354.97,8.2,54.1,Compacto
Prius (2da Gen),2000,26832.25,7.97,45.23,Compacto
Insight,2000,18936.41,9.52,53.0,Biplaza
Civic (1ra Gen),2001,25833.38,7.04,47.04,Compacto
Insight,2001,19036.71,9.52,53.0,Biplaza
Insight,2002,19137.01,9.71,53.0,Biplaza
Alphard,2003,38084.77,8.33,40.46,Minivan
Insight,2003,19137.01,9.52,53.0,Biplaza
Civic,2003,14071.92,8.62,41.0,Compacto
Escape,2004,36676.1,10.32,31.99,SUV
Insight,2004,19237.31,9.35,52.0,Biplaza
Prius,2004,20355.64,9.9,46.0,Mediano
Silverado 15 2WD,2004,30089.64,9.09,17.0,Camioneta
Lexus RX400h,2005,58521.14,12.76,28.23,SUV
Civic (2da Gen),2005,26354.44,7.63,39.99,Compacto
Highlander,2005,29186.21,12.76,29.4,SUV
Insight,2005,19387.76,9.71,52.0,Biplaza
Civic,2005,18236.33,8.26,41.0,Compacto
Escape 2WD,2005,19322.56,9.52,29.0,SUV
Accord,2005,16343.69,14.93,28.0,Mediano
Silverado 15 2WD,2005,32647.26,11.11,17.0,Camioneta
Mercury Mariner,2006,34772.4,8.98,32.93,SUV
Camry,2006,29853.25,11.28,33.64,Mediano
Lexus GS450h,2006,64547.56,18.65,33.4,Mediano
Estima,2006,36012.7,9.26,47.04,Minivan
Altima,2006,29524.75,13.29,32.93,Mediano
Chevrolet Tahoe,2007,42924.35,10.91,22.35,SUV
Kluger,2007,46229.48,12.76,25.87,SUV
Lexus LS600h/hL,2007,118543.6,17.54,21.0,Mediano
Tribute,2007,24823.83,11.28,31.75,SUV
GMC Yukon,2007,57094.81,12.28,21.78,SUV
Aura,2007,22110.87,10.87,27.0,Mediano
Vue,2007,22938.33,10.75,26.0,SUV
Silverado 15 2WD,2007,34653.23,11.49,17.0,Camioneta
Crown,2008,62290.38,8.7,37.16,Mediano
Cadillac Escalade,2008,78932.81,9.09,22.35,SUV
F3DM,2008,23744.06,9.52,30.11,Mediano
Altima,2008,18675.63,13.7,34.0,Mediano
A5 BSG,2009,11849.43,7.87,35.28,Mediano
Lexus RX450h,2009,46233.36,13.47,31.99,SUV
ML450 Blue HV,2009,60519.83,12.6,23.99,SUV
Prius (3ra Gen),2009,24641.18,9.6,47.98,Compacto
S400 Long,2009,96208.93,13.89,26.34,Grande
Mercury Milan,2009,30522.57,11.55,40.69,Mediano
Lexus HS250h,2009,38478.15,11.55,54.1,Compacto
Avante/Elantra LPI,2009,21872.71,10.21,41.87,Compacto
ActiveHybrid X6,2009,97237.9,17.96,18.82,SUV
SAI,2009,39172.44,11.55,54.1,Mediano
Malibu,2009,24768.79,9.09,29.0,Mediano
Vue,2009,26408.67,13.7,28.0,SUV
Aspen HEV,2009,44903.77,13.51,21.0,SUV
Durango,2009,41033.24,8.33,21.0,SUV
